{'SQL:  select count(*) from singer\n', 'Question 1:  How many singers do we have ? ||| concert_singer\n'}
{'Question 2:  What is the total number of singers ? ||| concert_singer\n', 'SQL:  select count(*) from singer\n'}
{'Question 3:  Show name , country , age for all singers ordered by age from the oldest to the youngest . ||| concert_singer\n', 'SQL:  select name ,  country ,  age from singer order by age desc\n'}
{'SQL:  select name ,  country ,  age from singer order by age desc\n', 'Question 4:  What are the names , countries , and ages for every singer in descending order of age ? ||| concert_singer\n'}
{'Question 5:  What is the average , minimum , and maximum age of all singers from France ? ||| concert_singer\n', "SQL:  select avg(age) ,  min(age) ,  max(age) from singer where country  =  'france'\n"}
{"SQL:  select avg(age) ,  min(age) ,  max(age) from singer where country  =  'france'\n", 'Question 6:  What is the average , minimum , and maximum age for all French singers ? ||| concert_singer\n'}
{'SQL:  select song_name ,  song_release_year from singer order by age limit 1\n', 'Question 7:  Show the name and the release year of the song by the youngest singer . ||| concert_singer\n'}
{'SQL:  select song_name ,  song_release_year from singer order by age limit 1\n', 'Question 8:  What are the names and release years for all the songs of the youngest singer ? ||| concert_singer\n'}
{'SQL:  select distinct country from singer where age  >  20\n', 'Question 9:  What are all distinct countries where singers above age 20 are from ? ||| concert_singer\n'}
{'SQL:  select distinct country from singer where age  >  20\n', 'Question 10:  What are the different countries with singers above age 20 ? ||| concert_singer\n'}
{'Question 11:  Show all countries and the number of singers in each country . ||| concert_singer\n', 'SQL:  select country ,  count(*) from singer group by country\n'}
{'SQL:  select country ,  count(*) from singer group by country\n', 'Question 12:  How many singers are from each country ? ||| concert_singer\n'}
{'Question 13:  List all song names by singers above the average age . ||| concert_singer\n', 'SQL:  select song_name from singer where age  >  (select avg(age) from singer)\n'}
{'Question 14:  What are all the song names by singers who are older than average ? ||| concert_singer\n', 'SQL:  select song_name from singer where age  >  (select avg(age) from singer)\n'}
{'SQL:  select location ,  name from stadium where capacity between 5000 and 10000\n', 'Question 15:  Show location and name for all stadiums with a capacity between 5000 and 10000 . ||| concert_singer\n'}
{'Question 16:  What are the locations and names of all stations with capacity between 5000 and 10000 ? ||| concert_singer\n', 'SQL:  select location ,  name from stadium where capacity between 5000 and 10000\n'}
{'SQL:  select max(capacity), average from stadium\n', 'Question 17:  What is the maximum capacity and the average of all stadiums ? ||| concert_singer\n'}
{'Question 18:  What is the average and maximum capacities for all stadiums ? ||| concert_singer\n', 'SQL:  select avg(capacity) ,  max(capacity) from stadium\n'}
{'SQL:  select name ,  capacity from stadium order by average desc limit 1\n', 'Question 19:  What is the name and capacity for the stadium with highest average attendance ? ||| concert_singer\n'}
{'Question 20:  What is the name and capacity for the stadium with the highest average attendance ? ||| concert_singer\n', 'SQL:  select name ,  capacity from stadium order by average desc limit 1\n'}
{'SQL:  select count(*) from concert where year  =  2014 or year  =  2015\n', 'Question 21:  How many concerts are there in year 2014 or 2015 ? ||| concert_singer\n'}
{'SQL:  select count(*) from concert where year  =  2014 or year  =  2015\n', 'Question 22:  How many concerts occurred in 2014 or 2015 ? ||| concert_singer\n'}
{'Question 23:  Show the stadium name and the number of concerts in each stadium . ||| concert_singer\n', 'SQL:  select t2.name ,  count(*) from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id group by t1.stadium_id\n'}
{'Question 24:  For each stadium , how many concerts play there ? ||| concert_singer\n', 'SQL:  select t2.name ,  count(*) from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id group by t1.stadium_id\n'}
{'Question 25:  Show the stadium name and capacity with most number of concerts in year 2014 or after . ||| concert_singer\n', 'SQL:  select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >=  2014 group by t2.stadium_id order by count(*) desc limit 1\n'}
{'Question 26:  What is the name and capacity of the stadium with the most concerts after 2013 ? ||| concert_singer\n', 'SQL:  select t2.name ,  t2.capacity from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  >  2013 group by t2.stadium_id order by count(*) desc limit 1\n'}
{'SQL:  select year from concert group by year order by count(*) desc limit 1\n', 'Question 27:  Which year has most number of concerts ? ||| concert_singer\n'}
{'SQL:  select year from concert group by year order by count(*) desc limit 1\n', 'Question 28:  What is the year that had the most concerts ? ||| concert_singer\n'}
{'SQL:  select name from stadium where stadium_id not in (select stadium_id from concert)\n', 'Question 29:  Show the stadium names without any concert . ||| concert_singer\n'}
{'Question 30:  What are the names of the stadiums without any concerts ? ||| concert_singer\n', 'SQL:  select name from stadium where stadium_id not in (select stadium_id from concert)\n'}
{'SQL:  select country from singer where age  >  40 intersect select country from singer where age  <  30\n', 'Question 31:  Show countries where a singer above age 40 and a singer below 30 are from . ||| concert_singer\n'}
{'SQL:  select name from stadium except select t2.name from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  =  2014\n', 'Question 32:  Show names for all stadiums except for stadiums having a concert in year 2014 . ||| concert_singer\n'}
{'SQL:  select name from stadium except select t2.name from concert as t1 join stadium as t2 on t1.stadium_id  =  t2.stadium_id where t1.year  =  2014\n', 'Question 33:  What are the names of all stadiums that did not have a concert in 2014 ? ||| concert_singer\n'}
{'Question 34:  Show the name and theme for all concerts and the number of singers in each concert . ||| concert_singer\n', 'SQL:  select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id\n'}
{'SQL:  select t2.concert_name ,  t2.theme ,  count(*) from singer_in_concert as t1 join concert as t2 on t1.concert_id  =  t2.concert_id group by t2.concert_id\n', 'Question 35:  What are the names , themes , and number of singers for every concert ? ||| concert_singer\n'}
{'SQL:  select t2.name ,  count(*) from singer_in_concert as t1 join singer as t2 on t1.singer_id  =  t2.singer_id group by t2.singer_id\n', 'Question 36:  List singer names and number of concerts for each singer . ||| concert_singer\n'}
